City,Region,State,CBSA,Index (Mean & All),Index (Total & All),Index (Mean & Female),Index (Total & Female),Index (Mean & LGBT),Index (Total & LGBT),Mean Funding (in M's),Mean Jobs,Mean Patents,Mean Exits (in M's),Total Funding (in B's),Total Jobs (in K's),Total Patents,Total Exits (in M's),All Entre- preneurs,Female Entre- preneurs,LGBT Entre- preneurs,GDP Per Capita (update with Census data),Population (in millions) (update with Census data)
Salt Lake City,Rocky Mountain,UT,"Salt Lake City, UT",92,89,49,38,5,3,14,46.28,0.83,7.3,21,73,1400,3600,1700,118,0,59000,2.6
San Antonio,Southwest,TX,"San Antonio-New Braunfels, TX",89,86,93,75,5,3,9.3,68.99,0.7,6.5,2.4,20,212,470,302,32,0,53000,2.6
San Diego,Far West,CA,"San Diego-Chula Vista-Carlsbad, CA",98,97,79,64,51,14,15,49.85,1.74,14,46,160,5700,34000,3300,344,8,73000,3.3
San Francisco,Far West,CA,"San Francisco-Oakland-Berkeley, CA",96,95,79,74,100,100,19,72.8,1.18,7.1,690,2800,47000,130000,40000,4400,234,110000,8.8
San Luis Obispo,Far West,CA,"San Luis Obispo-Paso Robles, CA",66,51,31,70,10,23,6.1,33.75,0.32,8.4,0.47,3.2,30,0,101,17,1,65000,0.28
Santa Maria,Far West,CA,"Santa Maria-Santa Barbara, CA",98,97,32,50,5,3,15,88.05,3.33,10,5.1,31,1200,2700,372,45,0,68000,0.45
Seattle,Far West,WA,"Seattle-Tacoma-Bellevue, WA",93,92,79,72,85,15,12,56.4,0.88,7.1,48,240,3800,11000,4400,499,8,92000,4.9
Spokane,Far West,WA,"Spokane-Spokane Valley, WA",73,73,81,91,5,4,4.1,14.89,1.26,7.8,0.44,1.8,151,400,120,21,0,46000,0.73
Springfield,New England,MA,"Springfield, MA",57,58,22,35,6,5,6,12.65,0.97,3.4,0.32,696,58,0,62,6,0,55000,0.63
St. Louis,Plains,MO,"St. Louis, MO-IL",48,48,19,43,76,42,7.1,18.86,0.32,4.9,3.7,10,182,270,576,69,2,61000,2.9
Syracuse,Mideast,NY,"Syracuse, NY",58,55,98,90,6,5,8,12.83,0.64,5.2,0.04,693,39,0,61,8,0,64000,0.73
Tampa,Southeast,FL,"Tampa-St. Petersburg-Clearwater, FL",82,77,64,66,31,8,8,235.77,0.35,6.9,3.3,99,155,680,451,51,1,51000,3.1
Tucson,Southwest,AZ,"Tucson, AZ",53,52,36,65,6,4,5.2,9.97,0.79,5.6,0.79,1.5,124,5.2,161,23,0,43000,1.1
Tulsa,Southwest,OK,"Tulsa, OK",41,41,23,27,5,4,2.4,22.91,0.19,8.2,0.18,1.9,18,370,97,7,0,58000,1.2
Virginia Beach,Southeast,VA,"Virginia Beach-Norfolk-Newport News, VA-NC",60,57,8,34,5,3,4,303.37,0.04,6,0.33,26,4,0,89,11,0,58000,1.8
Washington,Mideast,DC,"Washington-Arlington-Alexandria, DC-VA-MD-WV",90,87,19,49,34,4,9.4,148.97,0.59,8.4,27,450,1900,12000,3200,406,3,87000,6.2
Wilmington,Mideast,NC,"Wilmington, NC",91,90,2,19,5,3,13,39.17,0.43,12,0.75,2.3,27,570,63,7,0,52000,0.29
